epoch,local_train_loss,local_train_accuracy,local_train_macro_f1,samples_processed,duration_s,mixed_peer_updates,mixed_senders,dropped_peer_updates,dropped_peer_senders,drop_reasons,nonfinite_peer_updates,max_staleness,max_normalized_staleness,stale_mixed_peer_updates,hard_dropped_stale_peer_updates,pushes_sent,failed_pushes_total,push_elapsed_s,push_failed_targets,push_failure_reasons,window_count,val_loss,val_accuracy,val_macro_f1,test_loss,test_accuracy,test_macro_f1,state_digest,last_step,windows,samples_per_s
1,2.367104384880167,0.13295755968169762,0.13028677990940885,3016,965.0543474410078,153,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,26,26.0,142,0,209,0,587.032510678051,[],[],2,2.279492924499512,0.1822,0.12846398607943146,2.277379253768921,0.1828,0.12756098515271763,6a8165bb39ca38d7a6a95804868b232ee68a95a6cb5cc9bf79c2018b6efae2b6,95,"[{'window_id': 0, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 1992, 'duration_s': 496.5113690390135}, {'window_id': 1, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 269.77645639597904}]",3.125212593464186
2,2.152390204370022,0.2021484375,0.18217639447024547,1024,535.2848987590405,81,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,21,21.0,69,0,95,0,271.31694472493837,[],[],2,2.1087048936843873,0.2342,0.17602513358204966,2.1061398653030396,0.2406,0.18131236803480016,13821e9fc74b8885011440085e1f3a09dc0b87e68a94db57295091ac10c66d51,127,"[{'window_id': 2, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 197.15212227002485}, {'window_id': 3, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 141.61616034596227}]",1.912999978841091
3,2.067234808625548,0.23129251700680273,0.22163326809620668,3528,1091.6401430059923,181,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,58,58.0,164,0,247,0,696.512732555042,[],[],2,2.040275217628479,0.2534,0.19568724160810452,2.0333941303253176,0.2498,0.18906759429866524,fb533ea95b4f737f62537ee4781e7a4ec8dadac71405bb6c401a8d7a5f3dabb4,238,"[{'window_id': 4, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 5, 'samples_processed': 2504, 'duration_s': 620.9059778000228}, {'window_id': 5, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 272.8094058459974}]",3.2318342473968857
4,1.9592771087464351,0.28083554376657827,0.2742118041999034,3016,1008.0122150719981,160,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,61,61.0,145,0,228,0,634.4392204359756,[],[],2,1.8328931648254394,0.3566,0.3328885465922492,1.8193897192001343,0.3657,0.34051325636253027,45349c546746771370fde66803e4f60919545f360396fec63762fa05f535fb5d,333,"[{'window_id': 6, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 1992, 'duration_s': 534.8500163520221}, {'window_id': 7, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 270.98463877802715}]",2.9920272342975327
5,1.8834839562575023,0.3053385416666667,0.2938351409259544,3072,945.4958036679891,156,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,80,80.0,145,0,209,0,581.9793282033643,[],[],2,1.8675327369689942,0.3344,0.28161482791778714,1.8576554023742675,0.3265,0.2745354871439315,2d826747e3b1c2765883b1ba4a70052f972b3f671bb027f6b28da1f52cd6ed9f,429,"[{'window_id': 8, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 483.1084838969982}, {'window_id': 9, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 269.74883302196395}]",3.2490889838774293
6,1.8442384791943376,0.3183023872679045,0.3137941752523149,3016,1008.9498282080167,169,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,110,110.0,158,0,228,0,636.2475842836429,[],[],2,1.8322474519729615,0.3452,0.3135096786273798,1.8268435091018678,0.3503,0.3230462121011246,35407eb7a4e873679a3779fe5d90c06061577b0800f3764b244bb3055e243b69,524,"[{'window_id': 10, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 4, 'samples_processed': 2048, 'duration_s': 543.156101318018}, {'window_id': 11, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 968, 'duration_s': 266.8578131800168}]",2.9892467550707456
7,1.814872961461702,0.32791777188328913,0.32404004285327376,3016,968.904972578981,151,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,129,129.0,142,0,209,0,588.7570058462443,[],[],2,1.744353468322754,0.3572,0.3152363554558261,1.742243003463745,0.3582,0.3179842809913902,53d333676d2f18813c307eeaee10a307a743ed56a5084f9a846c117dec802eef,619,"[{'window_id': 12, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 5, 'samples_processed': 2504, 'duration_s': 623.943465036049}, {'window_id': 13, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 139.38032232399564}]",3.112792363911775
8,1.7555842332018206,0.3574263038548753,0.3531739548347011,3528,1095.6857982630027,188,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,148,148.0,178,0,247,0,697.7299900256912,[],[],2,1.776829313659668,0.3598,0.31950971935766276,1.7597995988845825,0.3724,0.32797739422548794,3d96b654d112a85eacb1dcb43f5fce41aff48cdec186b3be3cf0db5be247b515,730,"[{'window_id': 14, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 5, 'samples_processed': 2504, 'duration_s': 626.2134782689973}, {'window_id': 15, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 1024, 'duration_s': 273.28008287999546}]",3.2199011848040375
9,1.7298529423823974,0.35827664399092973,0.3512994030872423,3528,1033.680056676967,164,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,184,184.0,162,0,228,0,632.3601292531239,[],[],2,1.631317195892334,0.4132,0.3832090037877543,1.6258750988006592,0.4139,0.38701486176079464,daf751fb3f74a3a469a773f39259644ddf434a31191e7c814bc8e2f555bd0f70,841,"[{'window_id': 16, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 5, 'samples_processed': 2560, 'duration_s': 562.9959674879792}, {'window_id': 17, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 2, 'samples_processed': 968, 'duration_s': 268.32034729002044}]",3.4130483385175023
10,1.7022380338739653,0.3740053050397878,0.37196585080884315,3016,901.1536786289653,136,"['decentr-01', 'decentr-02', 'decentr-03', 'decentr-04', 'decentr-05', 'decentr-06', 'decentr-07', 'decentr-08', 'decentr-09', 'decentr-10', 'decentr-11', 'decentr-12', 'decentr-13', 'decentr-14', 'decentr-15', 'decentr-16', 'decentr-17', 'decentr-18', 'decentr-19']",0,[],[],0,194,194.0,136,0,190,0,534.0924206959317,[],[],2,1.723539684677124,0.3836,0.34766776336510763,1.7161548400878905,0.3916,0.3549235330879691,28310b2cca16e572f1957b94e314b305e7b711839eb8869c9a6ac564aff02394,936,"[{'window_id': 18, 'epoch_window_index': 0, 'epoch_window_count': 2, 'assigned_shard_count': 5, 'samples_processed': 2504, 'duration_s': 564.7431058119982}, {'window_id': 19, 'epoch_window_index': 1, 'epoch_window_count': 2, 'assigned_shard_count': 1, 'samples_processed': 512, 'duration_s': 136.61885249399347}]",3.3468209380098273
