window_id,epoch_id,epoch_window_index,epoch_window_count,node_id,assigned_shard_count,assigned_sample_count,samples_processed,effective_throughput,local_inventory_count,cache_hit_rate,shards_pulled_total,bytes_transferred_total,prefetch_wait_s_total,transfer_retry_count
0,0,0,2,decentr-13,3,1536,1536,16.464960635263605,39,1.0,0,0,0.0,0
1,0,1,2,decentr-13,1,512,512,14.910109251615797,39,1.0,0,0,0.007132995990104973,0
2,1,0,2,decentr-13,6,3072,3072,16.632990197484432,39,1.0,0,0,0.007132995990104973,0
3,1,1,2,decentr-13,2,1024,1024,16.26968991952877,39,1.0,0,0,0.016248831001576036,0
4,2,0,2,decentr-13,4,2048,2048,16.78511868508241,39,1.0,0,0,0.016248831001576036,0
5,2,1,2,decentr-13,2,1024,1024,16.118584027026355,39,1.0,0,0,0.022915225010365248,0
6,3,0,2,decentr-13,2,1024,1024,16.142777852726987,39,1.0,0,0,0.022915225010365248,0
7,3,1,2,decentr-13,2,1024,1024,16.24223942994862,39,1.0,0,0,0.029786299011902884,0
8,4,0,2,decentr-13,1,512,512,15.761963610203368,39,1.0,0,0,0.029786299011902884,0
9,4,1,2,decentr-13,2,1024,1024,16.30280567201001,39,1.0,0,0,0.036305554007412866,0
10,5,0,2,decentr-13,3,1536,1536,16.54004968749278,39,1.0,0,0,0.036305554007412866,0
11,5,1,2,decentr-13,1,512,512,14.629579884382636,39,1.0,0,0,0.04332951101241633,0
12,6,0,2,decentr-13,3,1536,1536,16.14669779175083,39,1.0,0,0,0.04332951101241633,0
13,6,1,2,decentr-13,1,512,512,16.612670789416516,39,1.0,0,0,0.049857617006637156,0
14,7,0,2,decentr-13,1,512,512,14.764685621760341,39,1.0,0,0,0.049857617006637156,0
15,7,1,2,decentr-13,2,1024,1024,16.368134992145443,39,1.0,0,0,0.056654342013644055,0
16,8,0,2,decentr-13,2,1024,1024,16.215220410375707,39,1.0,0,0,0.056654342013644055,0
17,8,1,2,decentr-13,1,512,512,14.928043004638413,39,1.0,0,0,0.06340402501518838,0
18,9,0,2,decentr-13,2,1024,1024,15.90368502392735,39,1.0,0,0,0.06340402501518838,0
19,9,1,2,decentr-13,1,512,512,14.849675590117824,39,1.0,0,0,0.07008680701255798,0
20,10,0,2,decentr-13,3,1536,1536,16.84494360050996,39,1.0,0,0,0.07008680701255798,0
21,10,1,2,decentr-13,1,512,512,16.551950467135025,39,1.0,0,0,0.07663448801031336,0
22,11,0,2,decentr-13,2,1024,1024,16.279646377417855,39,1.0,0,0,0.07663448801031336,0
23,11,1,2,decentr-13,1,512,512,14.68993188852418,39,1.0,0,0,0.08323388700955547,0
24,12,0,2,decentr-13,3,1536,1536,16.13424794731972,39,1.0,0,0,0.08323388700955547,0
25,12,1,2,decentr-13,1,512,512,16.26044472716937,39,1.0,0,0,0.09107596200192347,0
26,13,0,2,decentr-13,3,1536,1536,16.29197697076054,39,1.0,0,0,0.09107596200192347,0
27,13,1,2,decentr-13,1,512,512,14.846991857390455,39,1.0,0,0,0.0979939210228622,0
28,14,0,2,decentr-13,1,512,512,16.008894701482646,39,1.0,0,0,0.0979939210228622,0
29,14,1,2,decentr-13,2,1024,1024,16.177306411612076,39,1.0,0,0,0.10476559301605448,0
30,15,0,2,decentr-13,3,1536,1536,16.648855667940804,39,1.0,0,0,0.10476559301605448,0
31,15,1,2,decentr-13,1,512,512,15.06497997926628,39,1.0,0,0,0.11119473600410856,0
32,16,0,2,decentr-13,2,1024,1024,16.28944841066808,39,1.0,0,0,0.11119473600410856,0
33,16,1,2,decentr-13,1,512,512,14.853334715550275,39,1.0,0,0,0.11773759900825098,0
34,17,0,2,decentr-13,3,1536,1536,16.849465854024384,39,1.0,0,0,0.11773759900825098,0
35,17,1,2,decentr-13,1,512,512,16.381527390074016,39,1.0,0,0,0.12457986600929871,0
36,18,0,2,decentr-13,2,1024,1024,16.278540905520547,39,1.0,0,0,0.12457986600929871,0
37,18,1,2,decentr-13,2,1024,1024,16.567697044563346,39,1.0,0,0,0.13091723702382296,0
38,19,0,2,decentr-13,1,512,512,16.1913046958419,39,1.0,0,0,0.13091723702382296,0
39,19,1,2,decentr-13,2,1024,1024,16.30060927552319,39,1.0,0,0,0.13814676401671022,0
40,20,0,2,decentr-13,2,1024,1024,16.207845190403383,39,1.0,0,0,0.13814676401671022,0
