window_id,epoch_id,epoch_window_index,epoch_window_count,node_id,assigned_shard_count,assigned_sample_count,samples_processed,effective_throughput,local_inventory_count,cache_hit_rate,shards_pulled_total,bytes_transferred_total,prefetch_wait_s_total,transfer_retry_count
0,0,0,2,decentr-11,3,1536,1536,10.793561128572891,43,1.0,0,0,0.0,0
1,0,1,2,decentr-11,1,512,512,6.003372808508882,43,1.0,0,0,0.006436252006096765,0
2,1,0,2,decentr-11,4,2048,2048,9.34095655534051,43,1.0,0,0,0.006436252006096765,0
3,1,1,2,decentr-11,1,512,512,6.075637966441882,43,1.0,0,0,0.01280228400719352,0
