window_id,epoch_id,epoch_window_index,epoch_window_count,node_id,assigned_shard_count,assigned_sample_count,samples_processed,effective_throughput,local_inventory_count,cache_hit_rate,shards_pulled_total,bytes_transferred_total,prefetch_wait_s_total,transfer_retry_count
0,0,0,2,decentr-06,3,1536,1536,11.05779522608066,29,1.0,0,0,0.0,0
1,0,1,2,decentr-06,1,512,512,8.181214339925614,29,1.0,0,0,0.006322289991658181,0
2,1,0,2,decentr-06,3,1536,1536,10.620267554655557,29,1.0,0,0,0.006322289991658181,0
3,1,1,2,decentr-06,1,512,512,10.730739285874803,29,1.0,0,0,0.013258132996270433,0
4,2,0,2,decentr-06,3,1536,1536,10.587288818571082,29,1.0,0,0,0.013258132996270433,0
5,2,1,2,decentr-06,2,1024,1024,10.586258909149334,29,1.0,0,0,0.01928495298488997,0
6,3,0,2,decentr-06,4,2048,2048,10.55364455788516,29,1.0,0,0,0.01928495298488997,0
7,3,1,2,decentr-06,1,512,512,10.698338480350758,29,1.0,0,0,0.025313790974905714,0
8,4,0,2,decentr-06,4,2048,2048,10.602244808346493,29,1.0,0,0,0.025313790974905714,0
9,4,1,2,decentr-06,1,512,512,10.676019082022027,29,1.0,0,0,0.04639662997215055,0
10,5,0,2,decentr-06,2,1024,1024,10.554201469929325,29,1.0,0,0,0.04639662997215055,0
11,5,1,2,decentr-06,1,512,512,10.561116698711391,29,1.0,0,0,0.05281241497141309,0
12,6,0,2,decentr-06,4,2048,2048,11.413443394677984,29,1.0,0,0,0.05281241497141309,0
13,6,1,2,decentr-06,1,512,512,10.727752008154356,29,1.0,0,0,0.05886944898520596,0
14,7,0,2,decentr-06,4,2048,2048,11.38443127385778,29,1.0,0,0,0.05886944898520596,0
15,7,1,2,decentr-06,1,512,512,10.75228422343058,29,1.0,0,0,0.06553708598949015,0
16,8,0,2,decentr-06,2,1024,1024,10.69851481162518,29,1.0,0,0,0.06553708598949015,0
17,8,1,2,decentr-06,2,1024,1024,10.608089940793526,29,1.0,0,0,0.09047253298922442,0
18,9,0,2,decentr-06,2,1024,1024,10.588821997253717,29,1.0,0,0,0.09047253298922442,0
19,9,1,2,decentr-06,2,1024,1024,10.642787475339997,29,1.0,0,0,0.09701224300079048,0
20,10,0,2,decentr-06,2,1024,1024,10.747990449020122,29,1.0,0,0,0.09701224300079048,0
21,10,1,2,decentr-06,2,1024,1024,10.637093131589808,29,1.0,0,0,0.10350325299077667,0
22,11,0,2,decentr-06,2,1024,1024,10.703153948371344,29,1.0,0,0,0.10350325299077667,0
23,11,1,2,decentr-06,2,1024,1024,10.546767297415586,29,1.0,0,0,0.10966382498736493,0
24,12,0,2,decentr-06,3,1536,1536,11.58727589093929,29,1.0,0,0,0.10966382498736493,0
25,12,1,2,decentr-06,1,512,512,10.475195946396262,29,1.0,0,0,0.11768218397628516,0
26,13,0,2,decentr-06,2,1024,1024,10.561359728036106,29,1.0,0,0,0.11768218397628516,0
